date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:27:09	20/20	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Thu,%2005%20Nov%202020%2018:57:08%20GMT	https://jannataresort.com/robots.txt		(from )
00:27:10	1511874/1511874	---MCZ	200	added ('OK')	text/html	etag:%221711c2-OGgWaF0qiDoZrcSMApRU8/CC0yk%22	https://jannataresort.com/	jannataresort.com/index.html	(from )
00:27:11	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2247e-17170e487b6%22	https://jannataresort.com/favicon.ico	jannataresort.com/favicon.ico	(from https://jannataresort.com/)
00:27:12	166808/166808	---MCZ	200	added ('OK')	application/javascript	etag:W/%2228b98-17170e25fbd%22	https://jannataresort.com/scripts/_vendors.js	jannataresort.com/scripts/_vendors.js	(from https://jannataresort.com/)
00:27:13	13920/13920	---MCZ	200	added ('OK')	application/javascript	etag:W/%223660-17170e487ba%22	https://jannataresort.com/scripts/index.js	jannataresort.com/scripts/index.js	(from https://jannataresort.com/)
00:27:14	2745/2745	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ab9-172128d14f9%22	https://jannataresort.com/_nuxt/a8b5459de8aac7fda108.js	jannataresort.com/_nuxt/a8b5459de8aac7fda108.js	(from https://jannataresort.com/)
00:27:15	193725/193725	---MCZ	200	added ('OK')	application/javascript	etag:W/%222f4bd-172128d14f9%22	https://jannataresort.com/_nuxt/7acbad0c923c7f635ed5.js	jannataresort.com/_nuxt/7acbad0c923c7f635ed5.js	(from https://jannataresort.com/)
00:27:16	305825/305825	---MCZ	200	added ('OK')	application/javascript	etag:W/%224aaa1-172128d14f9%22	https://jannataresort.com/_nuxt/ce114240868d84ff897d.js	jannataresort.com/_nuxt/ce114240868d84ff897d.js	(from https://jannataresort.com/)
00:27:17	180955/180955	---MCZ	200	added ('OK')	application/javascript	etag:W/%222c2db-172128d14f5%22	https://jannataresort.com/_nuxt/1c10bc95da80e564db94.js	jannataresort.com/_nuxt/1c10bc95da80e564db94.js	(from https://jannataresort.com/)
00:27:18	507/507	---MCZ	200	added ('OK')	application/javascript	etag:W/%221fb-172128d14f9%22	https://jannataresort.com/_nuxt/327ac7ad4301b86cdcf7.js	jannataresort.com/_nuxt/327ac7ad4301b86cdcf7.js	(from https://jannataresort.com/)
00:27:19	1235295/1235295	---MCZ	200	added ('OK')	application/javascript	etag:W/%2212d95f-172128d14e5%22	https://jannataresort.com/_nuxt/ff1e63b755352ff3cbbb.js	jannataresort.com/_nuxt/ff1e63b755352ff3cbbb.js	(from https://jannataresort.com/)
00:27:20	511368/511368	---MCZ	200	added ('OK')	application/javascript	etag:W/%227cd88-172128d14e5%22	https://jannataresort.com/_nuxt/41f3cf0810fad985cebb.js	jannataresort.com/_nuxt/41f3cf0810fad985cebb.js	(from https://jannataresort.com/)
00:27:22	16572/16572	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2240bc-172128d14cd%22	https://jannataresort.com/_nuxt/fonts/b1b058a.eot	jannataresort.com/_nuxt/fonts/b1b058a.eot	(from https://jannataresort.com/)
00:27:22	1752371/1752371	---MCZ	200	added ('OK')	application/javascript	etag:W/%221abd33-172128d14f5%22	https://jannataresort.com/_nuxt/0828347b1be281137f7d.js	jannataresort.com/_nuxt/0828347b1be281137f7d.js	(from https://jannataresort.com/)
00:27:23	16572/16572	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2240bc-172128d14cd%22	https://jannataresort.com/_nuxt/fonts/b1b058a.eot?	jannataresort.com/_nuxt/fonts/b1b058ad41d.eot	(from https://jannataresort.com/)
00:27:23	14516/14516	---M--	200	added ('OK')	font/woff2	etag:W/%2238b4-172128d14d1%22	https://jannataresort.com/_nuxt/fonts/a63c944.woff2	jannataresort.com/_nuxt/fonts/a63c944.woff2	(from https://jannataresort.com/)
00:27:24	18640/18640	---M--	200	added ('OK')	font/woff	etag:W/%2248d0-172128d14d1%22	https://jannataresort.com/_nuxt/fonts/9f86e67.woff	jannataresort.com/_nuxt/fonts/9f86e67.woff	(from https://jannataresort.com/)
00:27:26	53686/53686	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d1b6-172128d14cd%22	https://jannataresort.com/_nuxt/img/1a1935d.svg	jannataresort.com/_nuxt/img/1a1935d.svg	(from https://jannataresort.com/)
00:27:27	16800/16800	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2241a0-172128d14d1%22	https://jannataresort.com/_nuxt/fonts/aa166cc.eot	jannataresort.com/_nuxt/fonts/aa166cc.eot	(from https://jannataresort.com/)
00:27:28	16800/16800	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2241a0-172128d14d1%22	https://jannataresort.com/_nuxt/fonts/aa166cc.eot?	jannataresort.com/_nuxt/fonts/aa166ccd41d.eot	(from https://jannataresort.com/)
00:27:28	14684/14684	---M--	200	added ('OK')	font/woff2	etag:W/%22395c-172128d14d1%22	https://jannataresort.com/_nuxt/fonts/50098d5.woff2	jannataresort.com/_nuxt/fonts/50098d5.woff2	(from https://jannataresort.com/)
00:27:29	18888/18888	---M--	200	added ('OK')	font/woff	etag:W/%2249c8-172128d14d1%22	https://jannataresort.com/_nuxt/fonts/a389b9f.woff	jannataresort.com/_nuxt/fonts/a389b9f.woff	(from https://jannataresort.com/)
00:27:31	54535/54535	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d507-172128d14d1%22	https://jannataresort.com/_nuxt/img/ba23d1e.svg	jannataresort.com/_nuxt/img/ba23d1e.svg	(from https://jannataresort.com/)
00:27:32	17275/17275	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22437b-172128d14d1%22	https://jannataresort.com/_nuxt/fonts/263f264.eot	jannataresort.com/_nuxt/fonts/263f264.eot	(from https://jannataresort.com/)
00:27:33	17275/17275	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22437b-172128d14d1%22	https://jannataresort.com/_nuxt/fonts/263f264.eot?	jannataresort.com/_nuxt/fonts/263f264d41d.eot	(from https://jannataresort.com/)
